# Source: 5000 Series Rotors Technical Specifications D42380, revision 2023, https://www.rainbird.com/sites/default/files/media/documents/2023-12/d42380_5000_series_rotor_tech_spec.pdf, retrieved 2026-08-23
# Precipitation rates are based on half-circle operation; square and triangular spacing are based on 50 percent diameter of throw.
pressure_psi,nozzle,radius_ft,flow_gpm,precip_square_in_per_hr,precip_triangular_in_per_hr
25,1.5,33,1.12,0.20,0.23
25,2.0,35,1.50,0.24,0.27
25,2.5,35,1.81,0.28,0.33
25,3.0,36,2.26,0.34,0.39
25,4.0,36,2.91,0.43,0.49
25,5.0,37,3.72,0.52,0.60
25,6.0,37,4.25,0.60,0.69
25,8.0,33,5.90,1.26,1.50
35,1.5,34,1.35,0.22,0.26
35,2.0,36,1.81,0.27,0.31
35,2.5,37,2.17,0.31,0.35
35,3.0,38,2.71,0.36,0.42
35,4.0,40,3.50,0.42,0.49
35,5.0,41,4.47,0.51,0.59
35,6.0,43,5.23,0.54,0.63
35,8.0,41,7.06,0.94,1.10
45,1.5,35,1.54,0.24,0.28
45,2.0,37,2.07,0.29,0.34
45,2.5,37,2.51,0.35,0.41
45,3.0,39,3.09,0.37,0.43
45,4.0,42,4.01,0.44,0.51
45,5.0,43,5.09,0.48,0.56
45,6.0,44,6.01,0.59,0.69
45,8.0,44,8.03,0.92,1.06
55,1.5,35,1.71,0.27,0.31
55,2.0,37,2.30,0.32,0.37
55,2.5,37,2.76,0.39,0.45
55,3.0,40,3.47,0.42,0.48
55,4.0,42,4.44,0.48,0.56
55,5.0,45,5.66,0.54,0.62
55,6.0,50,6.63,0.51,0.59
55,8.0,47,8.86,0.80,0.93
65,1.5,34,1.86,0.31,0.36
65,2.0,35,2.52,0.40,0.46
65,2.5,37,3.01,0.42,0.49
65,3.0,40,3.78,0.45,0.53
65,4.0,42,4.83,0.53,0.61
65,5.0,45,6.16,0.59,0.68
65,6.0,50,7.22,0.55,0.64
65,8.0,48,9.63,0.84,0.97
