# Source: R-VAN Rotary Nozzles Technical Specifications D41159B, revision 2024, https://www.rainbird.com/media/5917, retrieved 2026-08-23
arc_degrees,pressure_psi,radius_ft,flow_gpm,precip_square_in_per_hr,precip_triangular_in_per_hr
270,30,19,1.80,0.64,0.74
270,35,20,1.95,0.63,0.72
270,40,22,2.31,0.61,0.71
270,45,23,2.52,0.61,0.71
270,50,24,2.82,0.63,0.73
270,55,24,2.88,0.64,0.74
210,30,19,1.40,0.64,0.74
210,35,20,1.52,0.63,0.72
210,40,22,1.80,0.61,0.71
210,45,23,1.96,0.61,0.71
210,50,24,2.19,0.63,0.72
210,55,24,2.24,0.64,0.74
180,30,19,1.20,0.64,0.74
180,35,20,1.30,0.63,0.72
180,40,22,1.54,0.61,0.71
180,45,23,1.68,0.61,0.71
180,50,24,1.88,0.63,0.73
180,55,24,1.92,0.64,0.74
90,30,19,0.60,0.64,0.74
90,35,20,0.65,0.63,0.72
90,40,22,0.77,0.61,0.71
90,45,23,0.84,0.61,0.71
90,50,24,0.94,0.63,0.73
90,55,24,0.96,0.64,0.74
